frame_callsign_id,frame_set,callsign_NP,command_VP
282,frame24,THA845,use_callsign
283,frame24,PAL498,use_callsign
284,frame24,MAS547,use_callsign
285,frame24,GIA730,use_callsign
286,frame24,TGW791,use_callsign
287,frame25,AXM272,use_callsign
288,frame25,SIA966,use_callsign
289,frame25,GIA721,use_callsign
290,frame25,JSA450,use_callsign
291,frame25,THA935,use_callsign
292,frame25,ANA979,use_callsign
293,frame25,SIA688,use_callsign
294,frame25,SIA162,use_callsign
295,frame25,TGW578,use_callsign
296,frame25,CPA633,use_callsign
297,frame25,THA845,use_callsign
298,frame25,PAL498,use_callsign
299,frame25,MAS547,use_callsign
300,frame25,GIA730,use_callsign
301,frame25,TGW791,use_callsign
302,frame26,AXM272,use_callsign
303,frame26,SIA966,use_callsign
304,frame26,GIA721,use_callsign
305,frame26,JSA450,use_callsign
306,frame26,THA935,use_callsign
307,frame26,ANA979,use_callsign
308,frame26,SIA688,use_callsign
309,frame26,SIA162,use_callsign
310,frame26,TGW578,use_callsign
311,frame26,THA845,use_callsign
312,frame26,CPA633,use_callsign
313,frame26,PAL498,use_callsign
314,frame26,MAS547,use_callsign
315,frame26,GIA730,use_callsign
316,frame26,TGW791,use_callsign
317,frame27,AXM272,use_callsign
318,frame27,EVA707,use_callsign
319,frame27,SIA966,use_callsign
320,frame27,GIA721,use_callsign
321,frame27,JSA450,use_callsign
322,frame27,THA935,use_callsign
323,frame27,ANA979,use_callsign
324,frame27,SIA688,use_callsign
325,frame27,SIA162,use_callsign
326,frame27,TGW578,use_callsign
327,frame27,THA845,use_callsign
328,frame27,CPA633,use_callsign
329,frame27,PAL498,use_callsign
330,frame27,MAS547,use_callsign
331,frame27,GIA730,use_callsign
332,frame27,TGW791,use_callsign
333,frame28,AXM272,use_callsign
334,frame28,EVA707,use_callsign
335,frame28,SIA966,use_callsign
336,frame28,GIA721,use_callsign
337,frame28,JSA450,use_callsign
338,frame28,THA935,use_callsign
339,frame28,ANA979,use_callsign
340,frame28,SIA688,use_callsign
341,frame28,SIA162,use_callsign
342,frame28,TGW578,use_callsign
343,frame28,THA845,use_callsign
344,frame28,CPA633,use_callsign
345,frame28,PAL498,use_callsign
346,frame28,MAS547,use_callsign
347,frame28,GIA730,use_callsign
348,frame28,TGW791,use_callsign
349,frame29,AXM272,use_callsign
350,frame29,EVA707,use_callsign
351,frame29,SIA966,use_callsign
352,frame29,GIA721,use_callsign
353,frame29,JSA450,use_callsign
354,frame29,THA935,use_callsign
355,frame29,ANA979,use_callsign
356,frame29,SIA688,use_callsign
357,frame29,SIA162,use_callsign
358,frame29,THA845,use_callsign
359,frame29,TGW578,use_callsign
360,frame29,CPA633,use_callsign
361,frame29,PAL498,use_callsign
362,frame29,MAS547,use_callsign
363,frame29,GIA730,use_callsign
364,frame29,TGW791,use_callsign
365,frame30,AXM272,use_callsign
366,frame30,EVA707,use_callsign
367,frame30,SIA966,use_callsign
368,frame30,GIA721,use_callsign
369,frame30,JSA450,use_callsign
370,frame30,THA935,use_callsign
371,frame30,ANA979,use_callsign
372,frame30,SIA688,use_callsign
373,frame30,SIA162,use_callsign
374,frame30,THA845,use_callsign
375,frame30,TGW578,use_callsign
376,frame30,CPA633,use_callsign
377,frame30,PAL498,use_callsign
378,frame30,MAS547,use_callsign
379,frame30,GIA730,use_callsign
380,frame30,TGW791,use_callsign
381,frame31,AXM272,use_callsign
382,frame31,EVA707,use_callsign
383,frame31,SIA966,use_callsign
384,frame31,GIA721,use_callsign
385,frame31,JSA450,use_callsign
386,frame31,THA935,use_callsign
387,frame31,ANA979,use_callsign
388,frame31,SIA688,use_callsign
389,frame31,SIA162,use_callsign
390,frame31,THA845,use_callsign
391,frame31,TGW578,use_callsign
392,frame31,CPA633,use_callsign
393,frame31,MAS547,use_callsign
394,frame31,PAL498,use_callsign
395,frame31,GIA730,use_callsign
396,frame31,TGW791,use_callsign
397,frame32,AXM272,use_callsign
398,frame32,EVA707,use_callsign
399,frame32,SIA966,use_callsign
400,frame32,GIA721,use_callsign
401,frame32,JSA450,use_callsign
402,frame32,THA935,use_callsign
403,frame32,ANA979,use_callsign
404,frame32,SIA688,use_callsign
405,frame32,SIA162,use_callsign
406,frame32,THA845,use_callsign
407,frame32,TGW578,use_callsign
408,frame32,CPA633,use_callsign
409,frame32,MAS547,use_callsign
410,frame32,PAL498,use_callsign
411,frame32,GIA730,use_callsign
412,frame32,TGW791,use_callsign
413,frame33,AXM272,use_callsign
414,frame33,EVA707,use_callsign
415,frame33,SIA966,use_callsign
416,frame33,GIA721,use_callsign
417,frame33,JSA450,use_callsign
418,frame33,THA935,use_callsign
419,frame33,ANA979,use_callsign
420,frame33,SIA688,use_callsign
421,frame33,JAL219,use_callsign
422,frame33,SIA162,use_callsign
423,frame33,THA845,use_callsign
424,frame33,TGW578,use_callsign
425,frame33,CPA633,use_callsign
426,frame33,MAS547,use_callsign
427,frame33,PAL498,use_callsign
428,frame33,GIA730,use_callsign
429,frame33,TGW791,use_callsign
430,frame34,AXM272,use_callsign
431,frame34,EVA707,use_callsign
432,frame34,SIA966,use_callsign
433,frame34,GIA721,use_callsign
434,frame34,JSA450,use_callsign
435,frame34,THA935,use_callsign
436,frame34,ANA979,use_callsign
437,frame34,SIA688,use_callsign
438,frame34,JAL219,use_callsign
439,frame34,SIA162,use_callsign
440,frame34,THA845,use_callsign
441,frame34,TGW578,use_callsign
442,frame34,CPA633,use_callsign
443,frame34,MAS547,use_callsign
444,frame34,PAL498,use_callsign
445,frame34,GIA730,use_callsign
446,frame34,TGW791,use_callsign
447,frame35,AXM272,use_callsign
448,frame35,EVA707,use_callsign
449,frame35,SIA966,use_callsign
450,frame35,GIA721,use_callsign
451,frame35,JSA450,use_callsign
452,frame35,THA935,use_callsign
453,frame35,ANA979,use_callsign
454,frame35,SIA688,use_callsign
455,frame35,JAL219,use_callsign
